-4710,92,5056
-4709,94,5064
-4709,92,5056
-4708,92,5056
-4708,92,5072
-4708,92,5092
-4612,90,5130
-4612,90,5131
-4612,90,5132
-4610,92,5155
-4606,93,5155
-4601,91,5154
-4597,92,5155
-4593,93,5155
-4588,94,5156
-4581,92,5156
-4704,92,5056
-4703,92,5056
-4702,92,5056
-4703,94,5064
-4706,93,5068
-4708,93,5068
-4705,94,5079
-4707,94,5079
-4704,93,5068
-4704,92,5072
-4705,93,5089
-4707,93,5089
-4704,92,5092
-4700,87,5113
-4701,88,5113
-4701,86,5113
-4701,87,5114
-4706,92,5128
-4706,92,5132
-4693,93,5143
-4693,93,5141
-4704,95,5147
-4706,95,5147
-4705,96,5147
-4705,94,5147
-4705,95,5148
-4705,95,5146
-4677,89,5121
-4677,90,5118
-4677,90,5121
-4690,92,5144
-4690,92,5142
-4687,93,5143
-4685,92,5140
-4688,95,5148
-4688,95,5146
-4662,91,5103
-4658,91,5103
-4655,91,5102
-4651,91,5102
-4645,89,5145
-4645,88,5148
-4644,93,5157
-4632,90,5179
-4637,89,5179
-4638,89,5178
-4637,89,5180
-4637,89,5181
-4638,89,5182
-4632,90,5181
-4634,90,5094
-4635,90,5093
-4634,90,5095
-4634,90,5096
-4630,89,5094
-4630,89,5096
-4641,89,5145
-4643,93,5157
-4642,93,5157
-4641,88,5148
-4624,91,5179
-4624,91,5177
-4620,91,5182
-4621,91,5181
-4618,91,5189
-4617,91,5190
-4614,90,5191
-4627,89,5094
-4627,89,5092
-4627,89,5096
-4624,87,5094
-4624,87,5096
-4621,87,5094
-4621,87,5096
-4625,90,5130
-4624,89,5130
-4625,90,5131
-4624,89,5131
-4625,90,5132
-4624,89,5132
-4619,91,5154
-4615,92,5156
